iter	Logloss
0	0.6664051034
1	0.644822428
2	0.6230851445
3	0.6009760847
4	0.5807256125
5	0.5626419181
6	0.546322389
7	0.5311853769
8	0.5165221384
9	0.5025011926
10	0.4891875552
11	0.4772079498
12	0.4659550188
13	0.4548729959
14	0.4441572375
15	0.4346300007
16	0.4261892982
17	0.4174371439
18	0.4098192152
19	0.402401463
20	0.3955043491
21	0.3886211653
22	0.3821841384
23	0.3759510148
24	0.3707887958
25	0.3656468793
26	0.3605163362
27	0.3564976461
28	0.3520396026
29	0.3480338591
30	0.3441933347
31	0.3403274888
32	0.3370299721
33	0.3338210341
34	0.3310269632
35	0.3281815381
36	0.3256394243
37	0.323401253
38	0.320724607
39	0.3184230278
40	0.3161578112
41	0.3141504756
42	0.3120183426
43	0.3099249083
44	0.3079994836
45	0.3063619496
46	0.3050049266
47	0.3034774169
48	0.302122609
49	0.3011667507
50	0.2999172032
51	0.2985616936
52	0.2974826479
53	0.2963451433
54	0.2952023205
55	0.2939551501
56	0.2928386723
57	0.2918747061
58	0.2908100216
59	0.2896120543
60	0.2886790702
61	0.2878767191
62	0.2870328639
63	0.2861034331
64	0.2853758281
65	0.2847887814
66	0.2840224348
67	0.2833952441
68	0.2826980552
69	0.2820260959
70	0.2813720801
71	0.2806045749
72	0.2798772996
73	0.2791515095
74	0.2784549077
75	0.277809462
76	0.2773233705
77	0.2766908318
78	0.2762977081
79	0.2758090622
80	0.2753929807
81	0.2748374327
82	0.2741488464
83	0.2736895032
84	0.2732478995
85	0.2728948993
86	0.2725975988
87	0.2721863782
88	0.271784594
89	0.2713639236
90	0.2709784715
91	0.2706204738
92	0.2703268763
93	0.2699872599
94	0.2696849643
95	0.2693736966
96	0.2690155345
97	0.2686876845
98	0.2683389843
99	0.2681767358
100	0.2679625598
101	0.2677036203
102	0.2673296226
103	0.2670787316
104	0.2668073809
105	0.2665657691
106	0.2662751582
107	0.2659850758
108	0.2657742735
109	0.2654414569
110	0.2652240541
111	0.2650235263
112	0.2648059916
113	0.2646049951
114	0.264354265
115	0.2642025928
116	0.2639739919
117	0.2637665682
118	0.2635430713
119	0.2633700707
120	0.263235209
121	0.2630616571
122	0.2628973173
123	0.2626950513
124	0.2624862809
125	0.2622906582
126	0.2621374154
127	0.2619652246
128	0.2617916118
129	0.2615459135
130	0.2614726496
131	0.2612605564
132	0.2611297202
133	0.2609767491
134	0.2608202941
135	0.2606392804
136	0.2605241684
137	0.26034484
138	0.2601183189
139	0.2599950451
140	0.2598256592
141	0.2595863778
142	0.2593292903
143	0.2590651914
144	0.2588368918
145	0.2585797012
146	0.2583295616
147	0.2582164302
148	0.2580682753
149	0.2579537737
150	0.2578583076
151	0.2576687548
152	0.257567945
153	0.2574655639
154	0.2572596555
155	0.2571536151
156	0.2568877261
157	0.2567695749
158	0.2566974947
159	0.2566315132
160	0.2565143958
161	0.2564069705
162	0.2563020889
163	0.2561616818
164	0.2560321765
165	0.2559155753
166	0.2558071459
167	0.2556804056
168	0.2555356476
169	0.2553852291
170	0.2552806478
171	0.25517802
172	0.2550942334
173	0.2550060975
174	0.2548841129
175	0.2547491219
176	0.2546332753
177	0.254534714
178	0.2545165311
179	0.2543494515
180	0.2542916711
181	0.2542399985
182	0.2540907134
183	0.2540225301
184	0.2538818759
185	0.2537407839
186	0.2536184804
187	0.2535423313
188	0.253421284
189	0.2532995567
190	0.2532194706
191	0.2531087041
192	0.2529891391
193	0.2528161346
194	0.2526839945
195	0.2525202082
196	0.2523895203
197	0.2523064012
198	0.2521311846
199	0.2520658899
200	0.2519543491
