iter	Passed	Remaining
0	1	1462
1	2	1448
2	4	1430
3	5	1376
4	6	1334
5	8	1354
6	9	1326
7	10	1312
8	11	1302
9	14	1399
10	15	1385
11	16	1374
12	18	1375
13	19	1382
14	20	1377
15	22	1381
16	23	1379
17	25	1373
18	28	1446
19	29	1433
20	30	1426
21	31	1414
22	33	1406
23	34	1399
24	35	1390
25	37	1390
26	38	1392
27	40	1402
28	42	1410
29	43	1408
30	44	1400
31	46	1394
32	47	1386
33	48	1385
34	50	1380
35	51	1375
36	52	1370
37	54	1368
38	55	1363
39	56	1358
40	57	1354
41	59	1349
42	60	1345
43	61	1342
44	63	1337
45	64	1333
46	65	1329
47	66	1325
48	68	1321
49	69	1311
50	70	1306
51	71	1303
52	72	1301
53	74	1297
54	75	1294
55	76	1292
56	78	1292
57	79	1291
58	80	1289
59	82	1286
60	83	1285
61	84	1284
62	86	1280
63	87	1277
64	88	1277
65	90	1276
66	91	1273
67	92	1270
68	94	1268
69	95	1265
70	96	1263
71	97	1260
72	99	1257
73	100	1257
74	101	1256
75	103	1252
76	104	1250
77	105	1248
78	106	1245
79	108	1244
80	109	1241
81	110	1238
82	111	1237
83	113	1234
84	114	1232
85	115	1229
86	117	1228
87	118	1225
88	119	1223
89	120	1221
90	122	1218
91	123	1216
92	124	1214
93	125	1213
94	127	1211
95	128	1210
96	129	1208
97	131	1206
98	132	1205
99	133	1203
100	135	1203
101	136	1201
102	137	1199
103	138	1197
104	140	1196
105	141	1195
106	143	1193
107	144	1192
108	145	1190
109	146	1188
110	148	1186
111	149	1184
112	150	1182
113	152	1181
114	153	1179
115	154	1177
116	155	1175
117	157	1173
118	158	1172
119	159	1170
120	160	1169
121	162	1167
122	163	1166
123	164	1164
124	166	1163
125	167	1161
126	168	1158
127	169	1157
128	171	1156
129	172	1154
130	173	1152
131	175	1150
132	176	1148
133	177	1147
134	178	1146
135	180	1144
136	181	1144
137	182	1142
138	184	1140
139	185	1139
140	186	1137
141	187	1135
142	189	1133
143	190	1131
144	191	1130
145	193	1129
146	194	1128
147	195	1127
148	197	1125
149	198	1123
150	199	1121
151	200	1120
152	202	1118
153	203	1117
154	204	1116
155	205	1114
156	207	1112
157	208	1111
158	209	1109
159	211	1108
160	212	1106
161	213	1105
162	215	1104
163	216	1102
164	217	1101
165	218	1099
166	220	1098
167	221	1096
168	222	1095
169	223	1093
170	225	1091
171	226	1091
172	227	1089
173	229	1088
174	230	1086
175	231	1085
176	233	1084
177	234	1082
178	235	1079
179	236	1077
180	237	1076
181	239	1074
182	240	1072
183	241	1071
184	242	1070
185	244	1069
186	245	1067
187	246	1066
188	248	1064
189	249	1063
190	250	1061
191	251	1060
192	253	1058
193	254	1057
194	255	1055
195	257	1054
196	258	1053
197	259	1051
198	260	1050
199	262	1048
200	263	1046
201	264	1045
202	265	1043
203	267	1042
204	268	1040
205	269	1039
206	270	1037
207	272	1036
208	273	1034
209	274	1033
210	275	1031
211	277	1030
212	278	1028
213	279	1027
214	280	1025
215	282	1023
216	283	1022
217	284	1021
218	286	1021
219	287	1020
220	289	1019
221	290	1018
222	291	1017
223	293	1016
224	294	1014
225	295	1013
226	297	1011
227	298	1010
228	299	1008
229	300	1007
230	302	1006
231	303	1005
232	304	1003
233	306	1002
234	307	1001
235	308	999
236	309	997
237	311	997
238	312	996
239	314	994
240	315	994
241	316	992
242	318	991
243	319	990
244	320	989
245	322	987
246	323	986
247	325	985
248	326	984
249	327	983
250	328	981
251	330	980
252	331	979
253	333	978
254	334	976
255	335	975
256	337	974
257	338	972
258	339	971
259	340	970
260	342	968
261	343	967
262	344	965
263	346	964
264	347	963
265	348	962
266	350	961
267	351	959
268	352	958
269	354	957
270	355	956
271	356	954
272	357	953
273	359	952
274	360	951
275	362	949
276	363	948
277	364	947
278	366	945
279	367	944
280	368	942
281	369	941
282	371	940
283	372	938
284	373	937
285	375	936
286	376	934
287	377	933
288	378	932
289	380	930
290	381	929
291	382	927
292	383	926
293	385	924
294	386	923
295	387	922
296	389	921
297	390	919
298	391	918
299	393	917
300	394	916
301	395	914
302	397	913
303	398	912
304	399	910
305	400	909
306	402	907
307	403	906
308	404	904
309	405	903
310	407	902
311	408	900
312	409	899
313	411	897
314	412	896
315	413	895
316	414	893
317	416	892
318	417	891
319	418	889
320	419	888
321	421	887
322	422	885
323	423	884
324	425	883
325	426	881
326	427	880
327	429	878
328	430	877
329	431	876
330	433	875
331	434	874
332	436	873
333	437	872
334	438	870
335	440	869
336	441	868
337	442	866
338	443	865
339	445	865
340	447	864
341	448	862
342	449	861
